"","Title","Type","Organism","Assays","Release.Date","Processed.Data","Raw.Data","Present.in.Atlas","ArrayExpress.URL"
"E-GEOD-65113","CNV and ROH analysis of patients with a region of triplication followed by a terminal region of ROH and their parental samples","genotyping by array, comparative genomic hybridization by array","Homo sapiens",14,"2015-03-03","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65113/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65113/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-65113/"
"E-MTAB-2416","Novel PAX5 fusion genes in childhood B-Cell Precursors Acute Lymphoblastic Leukemia","genotyping by array","Homo sapiens",11,"2015-03-02","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2416/E-MTAB-2416.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2416/"
"E-GEOD-61323","Integrated Genomic Profiling, Therapy Response And Survival In Adult Acute Myelogenous Leukemia","genotyping by array, comparative genomic hybridization by array","Homo sapiens",312,"2015-03-01","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-61323/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-61323/"
"E-GEOD-53539","Genome-wide mapping of crossovers in all products of adult, single human female meioses reveals structural rearrangements of chromosomes and meiotic drive for recombinant chromatids","genotyping by array, comparative genomic hybridization by array","Homo sapiens",44,"2015-03-01","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-53539/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-53539/"
"E-MTAB-1905","Genotyping by array of 27 primary central nervous system lymphomas in order to identify recurrent genomic abnormalities","genotyping by array","Homo sapiens",27,"2015-02-26","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1905/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1905/"
"E-MTAB-3340","Genotyping by array of humans JAK2 V617F negative myeloproliferative neoplasms from 524 case","genotyping by array","Homo sapiens",524,"2015-02-20","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3340/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3340/"
"E-GEOD-62215","Affymetrix SNP array data for NF1-associated glioma risk","genotyping by array","Homo sapiens",265,"2015-02-20","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-62215/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-62215/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-62215/"
"E-MTAB-2914","Cross-laboratory validation of the OncoScan FFPE Assay, a multiplex tool for whole genome tumour profiling","genotyping by array","Homo sapiens",972,"2015-02-18","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2914/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2914/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2914/"
"E-GEOD-65760","Affymetrix SNP array data for Healthy Individual Malay Sub-Ethnic Group","genotyping by array, comparative genomic hybridization by array","Homo sapiens",113,"2015-02-11","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65760/E-GEOD-65760.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65760/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-65760/"
"E-MTAB-2817","SNP profiling of pheochromocytomas (150 samples)","genotyping by array","Homo sapiens",150,"2015-02-02","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2817/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2817/"
"E-GEOD-65454","Chromothripsis in healthy individuals affects multiple protein-coding genes and can result in severe congenital abnormalities in offspring","genotyping by array, comparative genomic hybridization by array","Homo sapiens",10,"2015-01-31","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65454/E-GEOD-65454.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65454/E-GEOD-65454.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-65454/"
"E-GEOD-65452","Chromothripsis in healthy individuals affects multiple protein-coding genes and can result in severe congenital abnormalities in offspring [case 2]","genotyping by array, comparative genomic hybridization by array","Homo sapiens",2,"2015-01-31","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65452/E-GEOD-65452.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-65452/"
"E-GEOD-65451","Chromothripsis in healthy individuals affects multiple protein-coding genes and can result in severe congenital abnormalities in offspring [case 1]","genotyping by array, comparative genomic hybridization by array","Homo sapiens",5,"2015-01-31","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65451/E-GEOD-65451.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-65451/"
"E-MTAB-3269","Genotyping by array of 108 clear cell renal cell carcinoma","genotyping by array","Homo sapiens",108,"2015-01-27","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3269/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3269/"
"E-GEOD-65312","Combinatorial Conflicting Homozygosity (CCH) analysis enables the rapid identification of shared genomic regions in the presence of multiple phenocopies","genotyping by array, comparative genomic hybridization by array","Homo sapiens",17,"2015-01-27","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65312/E-GEOD-65312.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-65312/"
"E-GEOD-62965","Identification of SNPs using genomic DNA and allele specific expression using nascent RNA on snp6 array","genotyping by array, comparative genomic hybridization by array","Homo sapiens",10,"2015-01-22","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-62965/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-62965/"
"E-GEOD-62907","The inactive X chromosome is epigenetically unstable and transcriptionally labile in breast cancer","ChIP-seq, genotyping by array, other, comparative genomic hybridization by array, RNA-seq of coding RNA","Homo sapiens",39,"2015-01-19","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-62907/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-62907/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-62907/"
"E-MTAB-2694","Single cell derived clonal analysis of human glioblastoma links functional and genomic heterogeneity","genotyping by array","Homo sapiens",46,"2015-01-03","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2694/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2694/"
"E-GEOD-34888","Genomic aberrations of high-grade and low-grade gliomas from Chinese patients","genotyping by array, comparative genomic hybridization by array","Homo sapiens",36,"2015-01-03","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-34888/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-34888/"
"E-MTAB-2823","F5240_F2299 500K Affymetrix array: 250K Sty","genotyping by array","Homo sapiens",2,"2014-12-26","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2823/E-MTAB-2823.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2823/"
"E-MTAB-2821","F4290_F1739_F1626_F4227_F7150_F6705_F2021Affymetrix array: 6.0","genotyping by array","Homo sapiens",7,"2014-12-26","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2821/E-MTAB-2821.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2821/"
"E-MTAB-2820","F5240_F2299 500K Affymetrix array: 250K NSP","genotyping by array","Homo sapiens",2,"2014-12-26","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2820/E-MTAB-2820.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2820/"
"E-MTAB-2140","Genotyping by array of multiple single tumour glands from 8 colorectal carcinomas and 3 adenomas to infer tumour evolutionary dynamics and reconstruct the timeline of progression","genotyping by array","Homo sapiens",158,"2014-12-22","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2140/E-MTAB-2140.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2140/"
"E-GEOD-34678","A Genome-wide Study of Cytogenetic Changes in Colorectal Cancer Using SNP Microarrays: Possibilities for Future Personalized Treatment","genotyping by array, comparative genomic hybridization by array","Homo sapiens",172,"2014-12-19","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-34678/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-34678/"
"E-GEOD-64241","Affymetrix SNP copy number data for embryonic stem cell samples","genotyping by array, comparative genomic hybridization by array","Homo sapiens",17,"2014-12-17","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-64241/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-64241/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-64241/"
"E-GEOD-62407","Affymetrix SNP array data for lung cancer samples","genotyping by array, comparative genomic hybridization by array","Homo sapiens",66,"2014-12-10","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-62407/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-62407/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-62407/"
"E-GEOD-63630","The reversed evolution from multicellularity to unicellularity during carcinogenesis","genotyping by array, comparative genomic hybridization by array","Homo sapiens",12,"2014-11-27","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-63630/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-63630/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-63630/"
"E-GEOD-52788","DNA copy number changes in malignant mesothelioma","genotyping by array, comparative genomic hybridization by array","Homo sapiens",34,"2014-11-22","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-52788/E-GEOD-52788.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-52788/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-52788/"
"E-MTAB-2435","LSCC","transcription profiling by array, genotyping by array","Homo sapiens",160,"2014-11-17","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2435/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2435/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2435/"
"E-MTAB-3034","Genomic heterogeneity of osteosarcoma - implementing order on the level of functional modules","genotyping by array","Homo sapiens",44,"2014-10-31","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3034/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3034/"
"E-GEOD-44974","Genome-wide genotyping and CNV scan in IgA Nephropathy patients","genotyping by array, comparative genomic hybridization by array","Homo sapiens",217,"2014-10-30","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-44974/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-44974/"
"E-GEOD-59244","Affymetrix SNP array data for 5q- myelodysplastic syndromes","genotyping by array, comparative genomic hybridization by array","Homo sapiens",4,"2014-10-07","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-59244/E-GEOD-59244.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-59244/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-59244/"
"E-MTAB-1727","DNA copy number variation profiling and transcription profiling by array of 93 human lung squamous cell carcinoma samples","transcription profiling by array, genotyping by array","Homo sapiens",173,"2014-10-03","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1727/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1727/"
"E-MTAB-2792","First Report of a Deletion Encompassing an Entire Exon in the Homogentisate 1,2-Dioxygenase Gene Causing Alkaptonuria","genotyping by array","Homo sapiens",1,"2014-10-01","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2792/E-MTAB-2792.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2792/E-MTAB-2792.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2792/"
"E-MTAB-1992","FY-hESC Micro-array raw data","genotyping by array, comparative genomic hybridization by array","Homo sapiens",21,"2014-10-01","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1992/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1992/"
"E-GEOD-61129","Exonic variants associated with development of Aspirin Exacerbated Respiratory Diseases","genotyping by array","Homo sapiens",969,"2014-09-05","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-61129/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-61129/"
"E-GEOD-61122","Affymetrix SNP array data for homozygosity mapping of segregating anhidrosis","genotyping by array","Homo sapiens",4,"2014-09-05","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-61122/E-GEOD-61122.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-61122/E-GEOD-61122.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-61122/"
"E-GEOD-56781","RNA-Sequencing Identifies Novel Imprinted Genes in Human Placenta","genotyping by array, comparative genomic hybridization by array, RNA-seq of coding RNA","Homo sapiens",40,"2014-09-01","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-56781/E-GEOD-56781.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-56781/"
"E-GEOD-56685","RNA-Sequencing Identifies Novel Imprinted Genes in Human Placenta (SNP genotyping)","genotyping by array, comparative genomic hybridization by array","Homo sapiens",30,"2014-09-01","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-56685/E-GEOD-56685.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-56685/"
"E-GEOD-59546","The Genetic Prehistory of the New World Arctic","genotyping by array, comparative genomic hybridization by array","Homo sapiens",19,"2014-08-28","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-59546/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-59546/"
"E-GEOD-60720","Affymetrix SNP array data for cone precursor derived retinoblastoma like samples","genotyping by array, comparative genomic hybridization by array","Homo sapiens",7,"2014-08-25","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-60720/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-60720/"
"E-GEOD-59032","Standing at the gateway to Europe - the genetic structure of Western Balkan populations based on autosomal and haploid markers","genotyping by array, comparative genomic hybridization by array","Homo sapiens",70,"2014-08-22","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-59032/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-59032/"
"E-GEOD-31276","Genetic Copy Number Variants in Myocardial Infarction Patients with Hyperlipidemia","genotyping by array, comparative genomic hybridization by array","Homo sapiens",40,"2014-08-09","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-31276/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-31276/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-31276/"
"E-GEOD-58951","Single Nucleotide Polymorphisms Other Than Factor V Leiden are Associated with Coagulopathy and Osteonecrosis of the Femoral Head in Chinese Patients","genotyping by array, comparative genomic hybridization by array","Homo sapiens",22,"2014-07-28","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-58951/E-GEOD-58951.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-58951/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-58951/"
"E-GEOD-59678","Affymetrix SNP 250K array data for paediatric high grade gliomas","genotyping by array","Homo sapiens",35,"2014-07-24","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-59678/E-GEOD-59678.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-59678/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-59678/"
"E-GEOD-59150","A High-Resolution Copy Number Variation Resource for Clinical Genetics","genotyping by array, comparative genomic hybridization by array","Homo sapiens",873,"2014-07-24","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-59150/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-59150/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-59150/"
"E-GEOD-57277","Affymetrix SNP array data for diffuse large B cell lymphoma samples","genotyping by array, comparative genomic hybridization by array","Homo sapiens",148,"2014-07-22","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-57277/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-57277/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-57277/"
"E-GEOD-53096","Epigenetic and transcriptional aberrations in human pluripotent stem cells reflect differences in reprogramming mechanisms","genotyping by array, RNA-seq of coding RNA, methylation profiling by array","Homo sapiens",56,"2014-07-08","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-53096/E-GEOD-53096.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-53096/"
"E-GEOD-50668","The pattern of genomic instability during bladder cancer progression","genotyping by array, comparative genomic hybridization by array","Homo sapiens",12,"2014-07-01","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-50668/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-50668/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-50668/"
"E-GEOD-50667","The pattern of genomic instability during bladder cancer progression (part 2)","genotyping by array, comparative genomic hybridization by array","Homo sapiens",9,"2014-07-01","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-50667/E-GEOD-50667.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-50667/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-50667/"
"E-GEOD-50666","The pattern of genomic instability during bladder cancer progression (part 1)","genotyping by array, comparative genomic hybridization by array","Homo sapiens",3,"2014-07-01","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-50666/E-GEOD-50666.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-50666/E-GEOD-50666.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-50666/"
"E-GEOD-43934","Whole Genome Characterization of Circulating Tumor Cells Identifies Novel Prognostic Genomic Alterations in Melanoma Metastasis","genotyping by array, comparative genomic hybridization by array","Homo sapiens",88,"2014-07-01","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-43934/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-43934/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-43934/"
"E-GEOD-30460","Genomic aberrations predicts survival in clear cell renal cell carcinoma","genotyping by array","Homo sapiens",125,"2014-07-01","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-30460/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-30460/"
"E-GEOD-52107","The impact of a drug transporter ABCG2 haplotype in molecular response of chronic myelogenous leukemia patients is modulated by imatinib dose","genotyping by array","Homo sapiens",355,"2014-06-30","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-52107/E-GEOD-52107.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-52107/"
"E-GEOD-48386","A potential relationship among beta-defensins haplotype, SOX7 duplication and cardiac defects","genotyping by array, comparative genomic hybridization by array","Homo sapiens",4,"2014-06-27","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-48386/E-GEOD-48386.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-48386/"
"E-GEOD-55640","SNP6 and expression profiling of papillary carcinoma of the breast","transcription profiling by array, genotyping by array","Homo sapiens",48,"2014-06-20","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-55640/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-55640/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-55640/"
"E-GEOD-55638","SNP6 profiling of papillary carcinoma of the breast","genotyping by array","Homo sapiens",16,"2014-06-20","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-55638/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-55638/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-55638/"
"E-GEOD-48099","Loss of soluble guanylate cyclase, the major nitric oxide receptor, leads to moyamoya and achalasia","genotyping by array","Homo sapiens",9,"2014-06-19","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-48099/E-GEOD-48099.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-48099/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-48099/"
"E-GEOD-58356","Axiom® Exome 319 Array data to identify susceptible genetic variations of gastric cancer","genotyping by array, comparative genomic hybridization by array","Homo sapiens",1012,"2014-06-11","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-58356/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-58356/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-58356/"
"E-MEXP-3705","Genotyping by array of hepatocellular carcinoma tumors and their matched noncancerous liver tissues and the background germline","genotyping by array","Homo sapiens",9,"2014-06-06","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3705/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3705/"
"E-GEOD-57229","Whole genome SNP array data from myelodysplastic syndromes (MDS) patients","genotyping by array, comparative genomic hybridization by array","Homo sapiens",14,"2014-05-22","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-57229/E-GEOD-57229.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-57229/"
"E-GEOD-46745","Genome-wide Genotyping of Acute Myeloid Leukemia with Translocation t(9;11)(p22;q23) Reveals Novel Recurrent Genomic Alterations","genotyping by array","Homo sapiens",55,"2014-05-22","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-46745/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-46745/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-46745/"
"E-GEOD-55232","Genome-wide identification of expression quantitative trait loci (eQTLs) in human heart","transcription profiling by array, genotyping by array","Homo sapiens",258,"2014-05-21","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-55232/E-GEOD-55232.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-55232/"
"E-MTAB-2248","SNP array analysis of seven tumor cell lines carrying MYC amplifications","genotyping by array, comparative genomic hybridization by array","Homo sapiens",7,"2014-05-13","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2248/E-MTAB-2248.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2248/"
"E-GEOD-50496","Melanoma brain metastases and matched extracranial metastases","transcription profiling by array, genotyping by array, comparative genomic hybridization by array","Homo sapiens",143,"2014-05-08","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-50496/E-GEOD-50496.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-50496/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-50496/"
"E-GEOD-50495","Somatic copy number variation profiling in matched brain and extracranial metastases of melanoma","genotyping by array, comparative genomic hybridization by array","Homo sapiens",71,"2014-05-08","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-50495/E-GEOD-50495.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-50495/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-50495/"
"E-GEOD-53021","250K SNP array data for 40 high-grade myogenic cancers","genotyping by array, comparative genomic hybridization by array","Homo sapiens",47,"2014-05-02","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-53021/E-GEOD-53021.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-53021/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-53021/"
"E-GEOD-57100","Affymetrix SNP array data for nasopharyngeal carcinoma samples","genotyping by array, comparative genomic hybridization by array","Homo sapiens",52,"2014-05-01","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-57100/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-57100/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-57100/"
"E-MTAB-2434","Affymetrix SNP array data of five pediatric patients with T-cell lymphoblastic lymphoma (T-LBL)","genotyping by array","Homo sapiens",5,"2014-04-30","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2434/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2434/E-MTAB-2434.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2434/"
"E-GEOD-51711","Affymetrix SNP array data for chronic lymphocytic leukemia samples","genotyping by array, comparative genomic hybridization by array","Homo sapiens",52,"2014-04-30","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-51711/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-51711/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-51711/"
"E-GEOD-49276","SNP data from 45 adrenocortical carcinomas","genotyping by array","Homo sapiens",45,"2014-04-29","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-49276/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-49276/"
"E-GEOD-49452","Genomic analysis of hESC pedigrees enables identification of de novo genetic alterations and determination of the timing and origin of mutational events","genotyping by array, comparative genomic hybridization by array","Homo sapiens",21,"2014-04-21","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-49452/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-49452/"
"E-GEOD-49280","Integrated genomic analyses of adrenocortical tumors (SNP array, DNA methylation, mRNA and miRNA expression)","genotyping by array, transcription profiling by array, ChIP-chip by array, methylation profiling by array, RNA-seq of non coding RNA","Homo sapiens",76,"2014-04-07","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-49280/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-49280/"
"E-GEOD-56518","Moderate hypoxia influence at intermediate altitude in Argentinean Andes","genotyping by array, comparative genomic hybridization by array","Homo sapiens",24,"2014-04-05","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-56518/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-56518/"
"E-MTAB-2089","Array CGH for treatment decision in metastatic breast cancer","genotyping by array","Homo sapiens",125,"2014-04-04","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2089/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2089/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2089/"
